factor,LatB,Deformability,Relative_Deformability,Exp,Deformability_All,Relative_Deformability_All,Size,n_all,n_sel
ctrl,0,2.75637393767705,1,1,2.75761796235334,1,14.5063693137464,8574,2037
tr1,0.001,2.67787193973635,0.97151983014073,1,2.64583445901614,0.959463745571993,14.6925289963066,5374,1454
tr2,0.005,2.68194070080863,0.972995958258422,1,2.7106063258368,0.982952085039212,14.8105812220566,6790,2677
tr3,0.01,2.79540137355035,1.014158977249,1,2.83008356545961,1.02627833300173,14.7606557377049,5529,2184
tr4,0.025,2.60875793001636,0.946445579954547,1,2.63611111111111,0.955937750297168,14.677347242921,7537,2524
tr5,0.05,2.57790368271955,0.935251798561151,1,2.55627009646302,0.926984858439751,14.4350507416081,7650,1921
tr6,0.1,2.50220835290292,0.907789875205274,1,2.40122286648825,0.870759800403629,14.1358766928011,6864,2120
ctrl,0,2.32402234636871,1,2,2.33893557422969,1,14.5088212334114,3081,857
tr1,0.001,2.54420024420024,1.0947400089227,2,2.53195488721805,1.08252442483454,14.4792101341282,4814,1640
tr2,0.005,2.46299339333266,1.0597976379965,2,2.48767086270183,1.06359101555036,14.6336388012083,2954,944
tr3,0.01,2.42221982076557,1.04225324018518,2,2.45915492957746,1.05139917348402,14.7450926123057,4354,1496
tr4,0.025,2.56049974546072,1.10175349624391,2,2.54716734211415,1.08902843249671,14.4723028575131,3282,1018
tr5,0.05,2.64971471890835,1.14014166991489,2,2.56111111111111,1.09499001996008,13.8227868852459,3257,652
tr6,0.1,2.13871396585502,0.92026394203858,2,2.07784431137725,0.888371759475062,13.6954918032787,4685,1060
ctrl,0,2.62363519123624,1,3,2.67847411444142,1,14.8924590163934,2655,770
tr1,0.001,2.87106918238994,1.09430960218105,3,2.93596218596219,1.09613237258202,14.867650273224,4562,1057
tr2,0.005,2.90038635199926,1.10548385754523,3,2.94276094276094,1.09867066733801,14.8029806259314,2937,564
tr3,0.01,2.97405118226648,1.13356124822564,3,3.00329561742605,1.12127110030047,14.7946096799376,3184,714
tr4,0.025,2.73109243697479,1.04095738847287,3,2.74008868022953,1.0230036069626,14.7064438293946,3954,1177
tr5,0.05,2.82412965186074,1.07641857423403,3,2.77302631578947,1.03530077100177,14.3284649776453,4389,575
tr6,0.1,2.72676779741997,1.03930904972163,3,2.59322033898305,0.968170767453489,13.4929436920884,1813,352
ctrl,0,3.00802139037433,1,4,2.98921832884097,1,14.9893832943013,5543,1299
tr1,0.001,2.93775933609958,0.976641770401106,4,2.97315077929906,0.994624832389497,14.9670640834575,5106,1389
tr2,0.005,3.02572347266881,1.0058849589139,4,3.06461538461538,1.02522300062426,14.8238450074516,3915,1125
tr3,0.01,3.12040133779264,1.03736008918618,4,3.09372950282041,1.034962710141,14.7653182882691,5466,995
tr4,0.025,2.89225589225589,0.961514403292181,4,2.86958211658112,0.959977425835523,14.4656900626477,7146,1337
tr5,0.05,2.91725684608121,0.96982583149722,4,2.90996784565916,0.973487890657845,14.7402278049819,6482,1824
tr6,0.1,2.98335641735919,0.991800266748743,4,2.78996865203762,0.933343886299329,13.4341281669151,5031,842
