factor,LatB,Deformability,Relative_Deformability,Exp,Deformability_All,Relative_Deformability_All,Size,n_all,n_sel
ctrl,0,0.0718773603439331,1,1,0.0706146359443665,1,13.7820237229969,2515,647
tr1,0.001,0.0680997669696808,0.947443905060279,1,0.0677621066570282,0.95960427680197,13.826006343518,2326,598
tr2,0.005,0.0717520713806152,0.998256906448451,1,0.0718610882759094,1.0176514728834,13.8725030729544,2071,511
tr3,0.01,0.0770832300186157,1.07242711265094,1,0.0779889822006226,1.10443084719811,13.9095877991732,2027,541
tr4,0.025,0.0855809450149536,1.19065230839654,1,0.085249662399292,1.2072520272774,13.8884089521212,1399,397
tr5,0.05,0.0928152799606323,1.29130061978502,1,0.0925787091255188,1.31104137106161,13.7258410273631,1073,295
tr6,0.1,0.0944787859916687,1.31444429149301,1,0.0916980803012848,1.29857046028714,13.5287256088354,920,231
ctrl,0,0.0664195418357849,1,2,0.0664519071578979,1,13.877807058269,3083,769
tr1,0.001,0.0689724683761597,1.03843637685256,2,0.0689724683761597,1.03793060765393,13.6235881616279,2803,683
tr2,0.005,0.0669086575508118,1.0073640332575,2,0.0664948225021362,1.000645810573,13.6882577871171,2865,743
tr3,0.01,0.0828277170658112,1.24703836817474,2,0.0817438960075378,1.23012114329999,13.8353182416328,2462,668
tr4,0.025,0.0957466959953308,1.44154405991017,2,0.0967679917812347,1.45621090379396,13.7846931193363,2028,567
tr5,0.05,0.111043810844421,1.67185451412726,2,0.109683722257614,1.65057297749171,13.5911386719908,2168,620
tr6,0.1,0.0987518429756165,1.4867889817694,2,0.0969459414482117,1.45888877527407,13.5694620914626,2085,573
ctrl,0,0.0718040466308594,1,3,0.0713202357292175,1,13.7124302665471,2338,609
tr1,0.001,0.070141613483429,0.976847639855496,3,0.0687252879142762,0.963615546297496,13.6411334138747,2698,675
tr2,0.005,0.0752126574516296,1.04747101285661,3,0.0744408965110779,1.04375561507829,13.7846933777997,2560,682
tr3,0.01,0.0831881165504456,1.15854357036604,3,0.0838990211486816,1.17637049696838,13.9069428183298,2093,581
tr4,0.025,0.0990085005760193,1.37887076316209,3,0.0981966853141785,1.37684185014479,13.8539231331126,1571,445
tr5,0.05,0.105068892240524,1.46327257543962,3,0.103609442710876,1.45273556167497,13.5314445197019,2061,564
tr6,0.1,0.111058205366135,1.54668449171226,3,0.107566237449646,1.5082148334176,13.5477508281634,1825,534
ctrl,0,0.066826343536377,1,4,0.0653604865074158,1,13.6465276816874,2584,649
tr1,0.001,0.0651014745235443,0.974188786613864,4,0.0645912289619446,0.988230541316673,13.5096728779132,2424,574
tr2,0.005,0.0733146071434021,1.09709140533019,4,0.0735737383365631,1.12566081233522,13.7579735183967,2578,689
tr3,0.01,0.0788725018501282,1.18026062292625,4,0.0790985822677613,1.21018961905656,13.8804582908939,1888,491
tr4,0.025,0.0983395576477051,1.47156873238432,4,0.0965597927570343,1.47734201375748,13.7124300039759,1722,481
tr5,0.05,0.10434103012085,1.56137571800636,4,0.102375119924545,1.5663151453582,13.5355232290181,2140,543
tr6,0.1,0.101974606513977,1.52596417995647,4,0.0987219214439392,1.51042207179315,13.4496171565109,1827,439
ctrl,0,0.0605378746986389,1,5,0.05987948179245,1,13.7606478390957,2804,669
tr1,0.001,0.0639040470123291,1.05560440187977,5,0.0640304386615753,1.06932185691775,13.7231599236378,5820,1442
tr2,0.005,0.0663586258888245,1.09615057051741,5,0.0657337009906769,1.09776669775664,13.7713396692888,2558,628
tr3,0.01,0.0692708492279053,1.14425637789136,5,0.0698032975196839,1.1657298198009,13.9346969859577,2332,595
tr4,0.025,0.0858253836631775,1.41771385418503,5,0.0876616537570953,1.46396814289312,14.0726478558418,2686,735
tr5,0.05,0.0903330445289612,1.4921740311936,5,0.0907756090164185,1.51597185378221,13.7900308787618,2978,911
tr6,0.1,0.0984798967838287,1.62674849875499,5,0.0961072742938996,1.60501179063339,13.647875893123,2582,738
