factor,LatB,Deformability,Relative_Deformability,Exp,Deformability_All,Relative_Deformability_All,Size,n_all,n_sel
ctrl,0,35.0827790274712,1,1,32.6873172653055,1,13.3564708238581,1182,383
tr3,0.01,37.7891492851701,1.07714241382017,1,37.1655732745005,1.13700286177808,13.2061101800417,1246,378
tr5,0.05,52.0438428990402,1.48345839017735,1,53.7960681755635,1.64577801656005,12.9314653974026,1101,337
tr6,0.1,47.1583469556315,1.34420214882933,1,49.7773764084117,1.52283456009544,12.7862296938467,1069,322
ctrl,0,32.7557255296739,1,2,30.1001225229232,1,13.3115197306264,1038,303
tr1,0.001,32.2265147581808,0.983843717001056,2,31.6746349672854,1.05230917060763,13.2413752554887,1038,339
tr2,0.005,34.9702182605674,1.0676062793629,2,31.5697832585054,1.04882573931262,13.3740627662106,931,261
tr3,0.01,40.0558112867731,1.22286441954967,2,38.2485392605554,1.27071041758806,13.3167100887977,935,248
tr4,0.025,51.2313403995253,1.56404230317274,2,52.0527195565362,1.72931919187022,13.0180269267001,1036,275
tr5,0.05,50.0428269200168,1.52775815863649,2,52.8093259664253,1.7544555151298,12.8159035366348,913,250
tr6,0.1,47.7373838197985,1.45737525418426,2,50.4188382674645,1.67503764242379,12.8238182798112,996,309
ctrl,0,32.511468006315,1,3,32.554839795472,1,13.1504714243547,898,256
tr1,0.001,37.0370282450378,1.13919888938401,3,34.9221987366944,1.07271910892806,13.2904890266081,913,272
tr2,0.005,33.7519458924986,1.03815508687404,3,36.6061046851352,1.12444431965003,12.9529266817374,947,256
tr4,0.025,42.552299882874,1.30883969541482,3,44.9561900884692,1.38093722380173,12.9491959407897,742,199
ctrl,0,31.3766612416024,1,4,28.9138004020493,1,13.348108482724,948,236
tr1,0.001,35.1130859627452,1.11908292894429,4,30.9958454966455,1.07200869708047,13.4142510972665,909,292
tr2,0.005,33.5073669783559,1.06790734426289,4,32.0555849600249,1.10866038065868,13.2816335669915,952,282
tr3,0.01,37.579743228663,1.19769732475028,4,36.898209981861,1.27614528248752,13.1533212833839,919,287
tr4,0.025,46.8075298711613,1.49179447458543,4,45.5160469440674,1.57419800618259,13.2854911945256,883,243
ctrl,0,31.0763316060984,1,5,33.9358700840372,1,12.9491042169766,1026,320
tr5,0.05,40.1137113367838,1.29081230839074,5,44.6961181546532,1.3170759448327,12.8370287587653,973,266
tr6,0.1,50.8726612368681,1.63702273105121,5,51.9817909657591,1.53176538090916,12.901886424131,937,265
