factor,Osm,Deformability,Relative_Deformability,Exp,Deformability_All,Relative_Deformability_All,Size,n_all,n_sel
hypo2,200,2.36723163841808,1.14152336430028,1,2.70777479892761,1.18615126079194,15.4051318602994,2239,53
hypo1,250,2.13999620619339,1.03194618948071,1,2.72199798918824,1.19238178449237,15.7766553119012,2502,34
ctrl,300,2.07374786399499,1,1,2.2828241965698,1,14.8938910667617,2928,210
hyper1,400,1.814653784219,0.87505998956071,1,1.81978021978022,0.797161788680288,12.9083392729865,4063,1058
hyper2,500,1.60649264671112,0.774680796351141,1,1.50750750750751,0.660369514994939,11.4761664564943,3887,638
hyper3,600,1.43970580834406,0.694253063904559,1,1.35849056603774,0.595092065380691,10.9669508196721,3701,278
hyper4,700,1.35054347826087,0.651257320964325,1,1.25,0.547567351825983,10.4980755523877,3627,89
hypo2,200,2.44215698095008,1.05487614038261,2,2.85273028130171,1.11113177110293,15.7736214605067,5539,638
hypo1,250,2.5048231511254,1.08194444444444,2,2.94871794871795,1.14851874301517,15.3033856022808,7256,221
ctrl,300,2.31511254019293,1,2,2.56740951477794,1,14.8346301670719,5240,294
hyper1,400,1.85835694050991,0.802706956248033,2,1.88385269121813,0.73375621628522,12.8427655024947,5751,2511
hyper2,500,1.63984334203655,0.7083212213519,2,1.54076086956522,0.600122754354785,11.5715846994536,5110,1232
hyper3,600,1.4592835803236,0.630329435389778,2,1.36363636363636,0.531133173647333,10.4654371584699,4383,298
hyper4,700,1.35945945945946,0.587210960960961,2,1.27123735338884,0.495143975307265,9.11516918873476,3668,49
hypo2,200,2.40833333333333,1.13043342044856,3,2.70277777777778,1.18203324808184,14.7807749627422,2909,235
hypo1,250,2.43661971830986,1.14371060034661,3,2.73566878980892,1.19641780833075,15.0819672131148,4441,699
ctrl,300,2.13045128511656,1,3,2.28654970760234,1,14.4462295081967,5479,598
hyper1,400,1.85269121813031,0.869623835603897,3,1.84239833554,0.805754770786037,12.5910406272274,5424,1681
hyper2,500,1.59375,0.748080940002722,3,1.45954692556634,0.63831847639858,10.7527322404372,7123,707
hyper3,600,1.43059490084986,0.671498527492306,3,1.3433242506812,0.587489633929629,9.89445533380851,6090,175
hyper4,700,1.44080604534005,0.676291476555036,3,1.28230672139524,0.560804218308404,9.84306418219462,3246,29
hypo2,200,2.54237288135593,1.13889101924994,4,3.02001602426532,1.16509907821383,15.9475534028813,3810,159
hypo1,250,2.53264604810997,1.13453375005831,4,3.08105444690811,1.18864723470881,16.1261582323592,2420,87
ctrl,300,2.23232323232323,1,4,2.59206798866856,1,14.9960483175151,5422,177
hyper1,400,1.82764603817235,0.818719265968611,4,1.85552407932011,0.715846994535519,12.9717213114754,5553,2321
hyper2,500,1.59459459459459,0.714320655497126,4,1.49848001848002,0.578102127348029,11.2487645521502,7536,1091
hyper3,600,1.4746551319356,0.660592117925903,4,1.34751773049645,0.519862031546719,10.9648286140089,7447,444
hyper4,700,1.33695652173913,0.598908125122959,4,1.25633802816901,0.484685599938428,9.72513661202186,5505,217
