factor,Osm,Deformability,Relative_Deformability,Exp,Deformability_All,Relative_Deformability_All,Size,n_all,n_sel
hypo2,200,41.561364622085,0.954514443591841,1,31.8431860141874,0.900615582150134,13.135645170234,845,242
hypo1,250,48.7204812835204,1.11893349765408,1,34.1601325502584,0.96614539918743,13.334275712658,940,269
ctrl,300,43.5418917975609,1,1,35.3571342149831,1,12.8761510706441,928,288
hypo2,200,45.8512098474981,1.21184115797266,2,30.892307649382,1.03244188018569,13.4816184846302,906,210
hypo1,250,40.4889016388574,1.07011609094435,2,27.0482225259215,0.903969947382738,13.4597711105661,955,256
ctrl,300,37.8359899280898,1,2,29.9215948541587,1,13.0872314454899,1038,289
hyper1,400,26.4481406326347,0.699020712366756,2,26.829526062349,0.896660963197956,12.2151838008479,838,231
hyper2,500,16.8573295824112,0.445536897923111,2,20.3646800186822,0.68060142241555,11.6431605428054,929,237
hyper3,600,11.1912392651255,0.295782911624496,2,15.3544523425222,0.51315621434491,11.0608598903439,893,169
hyper4,700,7.35013835793868,0.194263143951254,2,11.3399013419531,0.378987196278309,10.7123850900354,1028,117
ctrl,300,47.729917854234,1,3,37.9939474024289,1,13.0355418197161,910,297
hyper1,400,20.4753502019438,0.428983562562898,3,19.0740684224982,0.502029131652661,12.5792135366346,869,297
hyper2,500,21.9921521049198,0.460762412625207,3,25.1865226343131,0.662908814594584,11.488463360614,921,219
hyper3,600,17.8293564736795,0.373546766372612,3,25.1036517858001,0.660727655379006,10.9721974518907,908,159
hyper4,700,11.6687732186271,0.244475032499809,3,18.5398879023129,0.487969510141703,10.7432485429268,877,77
hypo2,200,44.6603451889997,1.14231874534869,4,30.2013948302793,1.00999505195448,13.5533862809711,911,210
hypo1,250,48.0455123992399,1.22890428211587,4,29.2842109639028,0.979322588911681,13.8925801116284,926,149
ctrl,300,39.0962201844699,1,4,29.902517613166,1,13.1014020876586,913,275
hyper1,400,28.4687588395496,0.728171641791045,4,28.281447016956,0.945788156797331,12.3419357443232,849,267
ctrl,300,36.2754183715645,1,5,25.349704689756,1,13.2413789943207,853,233
hyper2,500,15.9328145674141,0.439217941036995,5,20.0009918676128,0.789002953383333,11.4687094584354,882,216
hyper3,600,11.496462546522,0.316921570104724,5,14.7119700206046,0.580360607772677,11.3060485493044,850,161
hyper4,700,6.79972137516091,0.187447083463304,5,9.27163377369827,0.36574918276839,10.8882495153899,730,107
