Conc_ugperml	DiameterA_um	Deformation
0	14.341	1.9701
0	15.3779	2.3188
0	12.134	2.1429
0	14.887	2.1733
0	13.6787	1.8644
0	14.4043	2.1331
0	16.1257	2.5585
0	15.0838	2.3887
0	15.5861	2.5556
0	10.2016	1.5095
0	15.0373	3.0122
0	15.0344	2.2987
0	11.0221	1.4385
0	18.6316	2.5225
0	14.8449	2.0907
0	12.968	1.8135
0	13.5602	2.5667
0	16.1333	2.6027
0	18.5959	2.5775
0	14.8388	2.4528
0	14.5274	1.9543
0	11.1051	1.5908
0	12.5577	2
0	14.9937	1.9782
0	13.7914	2.1798
0	14.7634	2.0161
0	14.5156	2.1339
0	14.5432	2.3174
0	14.4596	2.3927
0	14.2837	2.2913
0	16.1326	2.1643
0	12.5016	1.8839
0	14.6818	1.9461
0	14.299	2.521
0	15.3928	2.4176
0	15.2216	1.9698
0	15.151	2.2872
0	15.1748	2.3408
0	14.6199	2.3155
0	15.4218	2.2052
0	15.7175	2.3378
0	13.1277	2.2529
0	15.9228	2.5013
0	13.749	2.2533
0	16.6756	3.4556
0	14.4526	2.129
0	12.6611	2.2562
0	15.3151	2.5967
0	19.9446	2.6444
0	14.0112	2.4734
0	19.1829	3.8125
0	14.8966	2.1172
0	14.2659	2.1977
0	12.4529	1.9729
0	14.5001	1.9391
0	18.8141	2.4348
0	12.5742	2.25
0	13.2187	2.2282
0	15.5611	2.1054
0	14.5368	2.1755
0	13.9322	2.0763
0	15.8985	2.6622
0	14.7577	2.106
0	14.2929	1.9549
0	14.8608	2.2366
0	14.0449	2.2107
0	13.5133	2.3438
0	13.9152	2.0798
0	13.9212	2.1208
0	14.5982	2.1796
0	14.6726	2.2704
0	15.4544	2.5387
0	13.2788	2
0	18.0968	2.6934
0	14.4892	2.2755
0	12.8525	1.8732
0	14.5711	1.9264
0	13.4071	2.0405
0	12.7485	1.8128
0	15.4587	2.2148
0	13.1199	1.8488
0	12.8408	2.3667
0	13.8596	2.0085
0	13.482	2
0	15.8094	2.0095
0	14.4228	2.1436
0	12.3779	2.6328
0	12.4893	2.707
0	14.6619	1.9503
0	15.4952	1.9814
0	15.348	2.3319
0	14.273	2.2062
0	15.6872	2.2494
0	10.2834	2.5326
0	17.3388	2.0022
0	13.3885	2.6057
0	14.8694	2.0451
0	14.0523	1.9472
0	14.2786	2.1926
0	14.9609	2.0571
0	13.5073	2.0565
0	12.4864	2.1352
0	14.6308	2.3073
0	15.0637	1.9591
0	16.0202	2.3103
0	11.777	3.5933
0	16.0519	2.9188
0	14.2838	1.9069
0	15.4984	1.9555
0	14.3867	1.9405
0	15.2892	2.1898
0	16.0868	2.7521
0	13.2671	1.9292
0	15.2647	2.1078
0	17.4189	2.1887
0	12.8885	1.9278
0	12.5843	2.0692
0	12.5334	1.9611
0	12.7175	1.9634
0	14.4322	2.5152
0	14.6762	1.9264
0	17.7811	2.1777
0	15.2835	2.6513
0	13.1127	1.978
0	14.0269	2.1308
0	14.5566	2.2153
0	14.9378	1.9432
0	15.9781	2.9916
0	16.3895	2.2888
0	13.5048	2.2351
0	14.479	2.0987
0	22.9447	2.4181
0	14.1408	2.146
0	15.3282	2.4759
0	15.0814	2.4045
0	14.0033	2.1914
0	16.3795	2.4767
0	7.275	1.9894
0	12.1745	1.876
0	13.8601	2.2394
0	13.5288	2.0296
0	12.8766	2.1801
0	14.447	1.8898
0	17.485	3.684
0	13.2654	2.1277
0	13.7475	2.1079
0	15.6915	2.0366
0	16.2863	2.1414
0	15.0674	2.1138
0	14.0265	2.2287
0	15.2336	2.2598
0	12.0327	1.9566
0	13.9849	2.4455
0	12.0246	1.7594
0	12.3303	1.8616
0	14.5078	1.8563
0	12.7098	2.4193
0	14.2595	2.4398
0	13.7756	2.2303
0	16.0575	3.4601
0	14.1252	2.8159
0	14.0442	2.1984
0	13.8048	2.2704
0	16.1148	2.0731
0	14.4649	2.0113
0	15.2604	2.1486
0	13.3986	2.0538
0	15.472	2.962
0	14.9091	2.3
0	13.8739	2
0	18.4448	2.6118
0	14.5145	1.9839
0	14.7689	2.2745
0	15.4782	2.5225
0	12.576	2.4889
0	13.5863	1.9139
0	15.8255	1.9906
0	14.1753	2.0281
0	19.6793	2.6187
0	15.8152	1.8586
0	15.1187	2.0504
0	13.5416	2.0463
0	13.9881	1.8357
0	12.9153	1.8083
0	12.6798	1.8907
0	9.8458	1.6204
0	14.3	2.3201
0	13.3629	2.9091
0	13.6329	2.275
0	17.4086	2.276
0	13.669	1.8527
0	15.0247	2.0601
0	12.2113	1.9348
0	11.7772	1.8697
0	13.4154	2.6544
0	12.951	2.1157
0	15.1391	2.3161
0	15.2269	2.445
0	17.7577	3.6823
0	14.2955	2.1497
0	16.9524	2.3186
0	13.978	1.9673
0	16.665	2.8338
0	15.3876	2.0712
0	12.9105	2.0665
0	13.6187	2.0368
0	15.025	2.301
0	14.3608	2.0311
0	16.639	2.3271
0	13.3808	2.6676
0	14.8536	2.2246
0	15.3403	2.26
0	15.1595	2.1253
0	13.5829	2.0113
0	15.1455	2.9065
0	21.5157	3.6141
0	15.6725	2.1417
0	15.5721	2.1818
0	13.9761	2.3077
0	12.7311	2.4156
0	12.475	1.956
0	15.4505	2.0071
0	16.7806	2.1969
0	17.508	2.7565
0	11.5281	2.141
0	14.6119	2.1517
0	15.1759	2.258
0	13.5099	1.6857
0	14.0202	1.7493
0	14.9239	2.0708
0	17.8391	2.3512
0	13.6118	2.0859
0	14.2907	2.0623
0	13.2806	1.9321
0	17.07	2.5422
0	15.5005	2.1663
0	11.7847	1.9973
0	15.1519	2.1158
0	14.8996	1.8731
0	13.9329	2.3531
0	13.4223	2.1828
0	14.1673	2.0312
0	14.7171	3.151
0	17.7317	2.8918
0	15.3148	2.0846
0	14.3475	2.0084
0	14.2519	2.5932
0	12.5862	1.9972
0	14.9641	2.1281
0	15.5023	2.0635
0	15.6307	2.0479
0	14.6898	2.6934
0	16.2621	2.5167
0	14.5907	2.2891
0	14.7487	2.6412
0	15.831	2.2386
0	14.6985	2.2649
0	16.1974	1.8235
0	12.91	2.6783
0	13.8526	2.3827
0	14.581	1.9564
0	16.9325	2.1274
0	12.2267	2.7113
0	13.5806	2.1105
0	14.7777	1.9716
0	13.5387	2.0645
0	14.0739	2.105
0	15.6604	2.331
0	14.9988	2.2613
0	14.7311	2.1297
0	17.4861	3.4978
0	14.8852	2.4045
0	15.9209	2.0306
0	15.6213	2.2033
0	15.3261	2.1158
0	16.2997	2.4125
0	14.2111	2.0661
0	15.0253	2.5109
0	14.337	2.0254
0	14.2546	2.1667
0	14.102	2.6366
0	15.2704	2.1627
0	15.3296	2.1831
0	15.0666	2.3606
0	11.1078	1.6836
0	12.7918	2.2068
0	13.3911	1.9699
0	15.3514	2.0931
0	14.2823	2.1586
