Conc_ugperml	FrequencyShift_Hz	Volume_um^3	DiameterV_um	PassageTime_s	Deformability_inverseSec
0.0000    	36.8228   	1246.0844 	13.3511   	0.0389    	25.7020   
0.0000    	43.1347   	1459.6788 	14.0741   	0.0635    	15.7377   
0.0000    	33.3238   	1127.6759 	12.9140   	0.0294    	33.9623   
0.0000    	54.9248   	1858.6559 	15.2546   	0.0855    	11.6965   
0.0000    	34.6695   	1173.2162 	13.0856   	0.0308    	32.5080   
0.0000    	36.4030   	1231.8783 	13.3001   	0.0403    	24.8178   
0.0000    	54.8830   	1857.2409 	15.2507   	0.0907    	11.0227   
0.0000    	48.8570   	1653.3205 	14.6708   	0.0696    	14.3657   
0.0000    	44.3404   	1500.4804 	14.2040   	0.0605    	16.5403   
0.0000    	66.3511   	2245.3211 	16.2465   	0.0423    	23.6468   
0.0000    	27.2406   	921.8203  	12.0749   	0.0238    	42.0249   
0.0000    	42.2467   	1429.6293 	13.9768   	0.0585    	17.0828   
0.0000    	48.2876   	1634.0517 	14.6135   	0.0689    	14.5229   
0.0000    	27.3861   	926.7469  	12.0963   	0.0215    	46.5718   
0.0000    	54.6771   	1850.2740 	15.2316   	0.0991    	10.0908   
0.0000    	48.3192   	1635.1226 	14.6167   	0.0858    	11.6518   
0.0000    	40.2339   	1361.5143 	13.7512   	0.0430    	23.2753   
0.0000    	26.3509   	891.7146  	11.9420   	0.0241    	41.4428   
0.0000    	29.4214   	995.6214  	12.3889   	0.0235    	42.4871   
0.0000    	38.0319   	1286.9992 	13.4956   	0.0464    	21.5526   
0.0000    	39.6190   	1340.7079 	13.6808   	0.0532    	18.8107   
0.0000    	45.0351   	1523.9864 	14.2778   	0.1760    	5.6803    
0.0000    	27.4447   	928.7287  	12.1050   	0.0211    	47.4184   
0.0000    	37.0848   	1254.9483 	13.3827   	0.0334    	29.9583   
0.0000    	35.7711   	1210.4936 	13.2227   	0.0415    	24.1253   
0.0000    	35.7654   	1210.3020 	13.2220   	0.0514    	19.4683   
0.0000    	38.1082   	1289.5802 	13.5046   	0.0395    	25.3350   
0.0000    	31.3311   	1060.2451 	12.6513   	0.0289    	34.6368   
0.0000    	34.5826   	1170.2753 	13.0746   	0.0384    	26.0086   
