Osmo_mOsm	DiameterA_um	Deformation
200	16.5796	2.5784
200	15.8897	2.7139
200	15.4121	3.0139
200	19.7407	3.7079
200	15.9229	3.4167
200	16.2021	3.225
200	16.8529	2.5372
200	16.7493	2.8329
200	17.0124	3.2153
200	16.849	2.9564
200	18.7595	2.349
200	16.1335	3.5202
200	17.6128	2.5262
200	16.9363	2.6936
200	16.6766	2.2414
200	16.6751	2.7746
200	17.2026	2.9809
200	16.8359	3.2033
200	13.4434	2.2832
200	16.8626	2.4039
200	16.831	2.1155
200	15.5469	2.6989
200	13.6303	2.3806
200	17.5762	3.5829
200	16.6802	3.3948
200	17.5711	2.9018
200	14.2763	2.2183
200	16.5971	2.2343
200	16.3867	2.5014
200	17.1255	3.0926
200	13.2882	1.9972
200	16.9888	3.0793
200	16.9721	2.8718
200	18.4195	2.7984
200	15.6493	2.3619
200	13.2606	2.1522
200	18.2345	3.369
200	18.1202	3.365
200	16.8602	2.4085
200	16.1794	2.7629
200	16.9592	2.2732
200	15.0662	3.073
200	14.2259	2.0309
200	15.3872	2.2117
200	16.741	2.3723
200	14.3264	2.2779
200	17.5197	2.4657
200	14.1396	2.4113
200	15.8157	2.3874
200	13.1592	2.8719
200	15.7351	2.4768
200	16.3532	3.3229
200	14.3303	2.9034
200	13.8538	2.7762
200	17.6454	2.6404
200	13.2204	2.2034
200	15.9569	2.4133
200	17.9314	3.0635
200	15.6781	2.8667
200	15.2432	2.9046
200	17.6728	3.0218
200	13.8657	2.6724
200	16.6957	2.4176
200	14.2448	2.4548
200	12.6794	2.9611
200	15.6013	2.6204
200	16.148	3.109
200	19.5768	2.6288
200	17.1778	2.9178
200	15.5417	2.2924
200	14.8509	2.7904
200	16.293	2.8011
200	18.5571	3.0662
200	15.5427	3.0198
200	16.4903	2.8853
200	15.5299	3.2217
200	16.1484	2.5013
200	12.717	1.997
200	17.9133	2.4485
200	18.1275	3.6549
200	15.0884	3.0243
200	16.8724	2.5989
200	15.9766	2.1897
200	17.7917	2.6888
200	16.8736	2.866
200	16.7738	2.5595
200	15.8128	2.9501
200	17.1927	3.0682
200	16.0045	2.5666
200	14.7376	2.1746
200	15.7899	2.6477
