Osmo_mOsm	Area_um2	DiameterA_um	Volume_um3	DiameterV_um	Deformation	
200	144.8468	13.580305	979.05001	12.319755	0.066390753
200	160.4528	14.293175	1055.2849	12.631561	0.14040333
200	160.4528	14.293175	1055.2849	12.631561	0.14040333
200	112.65221	11.976362	800.37373	11.519441	0.071240187
200	190.97121	15.593335	1500.7142	14.204735	0.088120043
200	202.82021	16.069807	1647.4111	14.653267	0.061876595
200	149.29741	13.787363	1047.7424	12.601395	0.077770352
200	104.09781	11.512665	593.01953	10.423737	0.065149605
200	147.9102	13.72316	929.40106	12.107882	0.10553259
200	126.0618	12.66913	787.04778	11.455151	0.080335319
200	198.48521	15.897145	1528.5072	14.291888	0.10149533
200	140.6852	13.383794	927.124	12.097986	0.091372907
200	154.326	14.017631	1118.8514	12.880259	0.074032247
200	155.82881	14.085716	1122.7372	12.895153	0.078058422
200	207.502	16.254223	1610.1144	14.54184	0.10009468
200	222.1254	16.817219	1746.0736	14.940139	0.10264283
200	136.92821	13.203879	945.31843	12.176613	0.061761975
200	134.9052	13.105977	880.28131	11.890705	0.073806465
200	155.25079	14.059568	1047.6374	12.600974	0.13954741
200	157.1004	14.143071	1142.6914	12.971099	0.078985631
200	134.55841	13.089121	951.93324	12.204949	0.036292553
200	172.87981	14.836354	1254.8527	13.382319	0.096333563
200	138.6044	13.28445	973.0487	12.294532	0.065502107
200	202.93581	16.074386	1599.7672	14.510623	0.11953789
200	132.4776	12.987522	830.30785	11.661297	0.10575032
200	168.3714	14.641623	1188.1759	13.140969	0.084057808
200	138.0264	13.256722	938.53413	12.147414	0.074452162
200	165.019	14.495127	1238.1788	13.322782	0.083137751
200	157.1004	14.143071	1097.9198	12.799431	0.098587751
200	156.2912	14.106599	1124.9964	12.903796	0.090230167
200	155.53979	14.072648	1142.7005	12.971134	0.08244139
200	134.84741	13.10317	888.67212	11.928367	0.092675388
200	182.24341	15.232843	1357.0253	13.736089	0.10679084
200	177.04141	15.013865	1341.3776	13.683089	0.10689324
200	157.90961	14.179448	1098.3065	12.800934	0.10491008
200	166.2906	14.550868	1182.28	13.119196	0.09376955
