Osm_mOsm  	FrequencyShift_Hz	Volume_um^3	DiameterV_um	PassageTime_s	Deformability_inverseSec
300.0000  	45.4437   	1574.6253 	14.4342   	0.0513    	19.4745   
300.0000  	41.0928   	1423.8640 	13.9580   	0.0688    	14.5430   
300.0000  	37.0416   	1283.4901 	13.4834   	0.0391    	25.5449   
300.0000  	40.5619   	1405.4691 	13.8976   	0.0510    	19.6059   
300.0000  	23.5210   	815.0037  	11.5892   	0.0218    	45.8787   
300.0000  	34.6571   	1200.8699 	13.1876   	0.0497    	20.1124   
300.0000  	45.4343   	1574.2994 	14.4332   	0.0584    	17.1289   
300.0000  	46.7984   	1621.5637 	14.5762   	0.0714    	13.9993   
300.0000  	34.6008   	1198.9187 	13.1805   	0.0369    	27.0842   
300.0000  	30.1222   	1043.7343 	12.5853   	0.0313    	31.9064   
300.0000  	53.8480   	1865.8338 	15.2742   	0.1188    	8.4182    
300.0000  	25.0460   	867.8447  	11.8344   	0.0238    	42.0887   
300.0000  	35.2790   	1222.4179 	13.2660   	0.0388    	25.7497   
300.0000  	31.9888   	1108.4119 	12.8401   	0.0382    	26.1513   
300.0000  	31.3495   	1086.2593 	12.7540   	0.0271    	36.9339   
300.0000  	55.7679   	1932.3578 	15.4536   	0.1536    	6.5124    
300.0000  	51.2445   	1775.6235 	15.0239   	0.0979    	10.2130   
300.0000  	40.5567   	1405.2898 	13.8970   	0.0457    	21.8943   
300.0000  	28.5906   	990.6652  	12.3683   	0.0239    	41.8119   
300.0000  	30.1310   	1044.0390 	12.5865   	0.0292    	34.2635   
300.0000  	49.2010   	1704.8137 	14.8215   	0.0939    	10.6500   
300.0000  	33.7064   	1167.9273 	13.0659   	0.0338    	29.5779   
300.0000  	26.5507   	919.9818  	12.0668   	0.0254    	39.3889   
300.0000  	30.8596   	1069.2852 	12.6872   	0.0304    	32.8509   
300.0000  	35.3483   	1224.8201 	13.2747   	0.0527    	18.9910   
300.0000  	28.6365   	992.2540  	12.3749   	0.0309    	32.3426   
300.0000  	32.9433   	1141.4851 	12.9665   	0.0314    	31.8864   
300.0000  	27.2272   	943.4213  	12.1685   	0.0287    	34.8067   
300.0000  	55.4078   	1919.8801 	15.4203   	0.0711    	14.0561   
300.0000  	28.8710   	1000.3799 	12.4086   	0.0259    	38.5968   
300.0000  	20.3323   	704.5128  	11.0399   	0.0182    	54.8007   
300.0000  	30.7237   	1064.5750 	12.6685   	0.0332    	30.0853   
300.0000  	59.6543   	2067.0218 	15.8046   	0.1719    	5.8189    
300.0000  	30.7208   	1064.4767 	12.6681   	0.0302    	33.0824   
300.0000  	37.4895   	1299.0126 	13.5375   	0.0409    	24.4246   
300.0000  	30.2728   	1048.9509 	12.6062   	0.0298    	33.5147   
300.0000  	43.9610   	1523.2502 	14.2755   	0.0933    	10.7143   
300.0000  	43.9973   	1524.5056 	14.2794   	0.0602    	16.5988   
300.0000  	22.1071   	766.0123  	11.3522   	0.0219    	45.6522   
300.0000  	49.1659   	1703.5971 	14.8180   	0.1039    	9.6267    
300.0000  	41.8210   	1449.0962 	14.0400   	0.0699    	14.3004   
300.0000  	17.6751   	612.4409  	10.5363   	0.0311    	32.1925   
300.0000  	53.8923   	1867.3685 	15.2784   	0.1090    	9.1785    
300.0000  	37.3772   	1295.1192 	13.5240   	0.0470    	21.2776   
300.0000  	26.8028   	928.7167  	12.1049   	0.0231    	43.3686   
300.0000  	54.2899   	1881.1445 	15.3159   	0.1234    	8.1018    
300.0000  	38.6062   	1337.7054 	13.6706   	0.0521    	19.1904   
300.0000  	30.6904   	1063.4225 	12.6639   	0.0284    	35.2123   
300.0000  	28.5990   	990.9557  	12.3695   	0.0281    	35.6358   
300.0000  	56.8475   	1969.7658 	15.5527   	0.1238    	8.0771    
300.0000  	38.4531   	1332.3982 	13.6525   	0.0537    	18.6066   
300.0000  	34.0505   	1179.8501 	13.1102   	0.0423    	23.6559   
300.0000  	40.4967   	1403.2093 	13.8902   	0.0541    	18.4849   
300.0000  	42.8957   	1486.3347 	14.1592   	0.0596    	16.7767   
300.0000  	38.0264   	1317.6144 	13.6018   	0.0480    	20.8502   
300.0000  	42.4226   	1469.9414 	14.1070   	0.0803    	12.4469   
300.0000  	37.2552   	1290.8935 	13.5092   	0.1611    	6.2074    
300.0000  	35.0929   	1215.9704 	13.2426   	0.0433    	23.1113   
300.0000  	32.5159   	1126.6773 	12.9102   	0.0310    	32.2606   
300.0000  	36.4458   	1262.8478 	13.4107   	0.0438    	22.8142   
300.0000  	29.8121   	1032.9888 	12.5420   	0.0305    	32.7804   
300.0000  	31.2501   	1082.8153 	12.7405   	0.0353    	28.3550   
300.0000  	40.2194   	1393.6009 	13.8584   	0.0498    	20.0714   
300.0000  	32.0889   	1111.8820 	12.8535   	0.0333    	30.0290   
300.0000  	34.6537   	1200.7510 	13.1872   	0.0436    	22.9101   
300.0000  	39.2740   	1360.8447 	13.7490   	0.0593    	16.8639   
300.0000  	52.4680   	1818.0171 	15.1426   	0.1277    	7.8319    
