# area_cvx	area_msd	area_ratio	area_um	aspect	bright_avg	bright_sd	circ	deform	emodulus	frame	index	inert_ratio_cvx	inert_ratio_raw	pos_x	pos_y	size_x	size_y	time	volume
# Convex area [px]	Measured area [px]	Porosity (convex to measured area ratio)	Area [µm≤]	Aspect ratio of bounding box	Brightness average within contour [a.u.]	Brightness SD  within contour [a.u.]	Circularity	Deformation	Young's Modulus [kPa]	Video frame number	Event index	Inertia ratio of convex contour sqrt(m20/m02)	Inertia ratio of raw contour sqrt(m20/m02)	Position along channel axis [µm]	Position lateral in channel [µm]	Bounding box size x [µm]	Bounding box size y [µm]	Event time [s]	Volume [µm≥]
1.6795000000e+03	1.6430000000e+03	1.0222154856e+00	1.9415019226e+02	1.4473685026e+00	0.0000000000e+00	0.0000000000e+00	9.3199831247e-01	6.8001687527e-02	1.0756023982e+00	2.6184700000e+05	1.0000000000e+00	nan	nan	6.0473674774e+01	1.3344350815e+01	1.8700000763e+01	1.2920000076e+01	0.0000000000e+00	nan
1.0600000000e+03	9.9850000000e+02	1.0615923405e+00	1.2253599548e+02	1.6551724672e+00	5.6452830189e+01	8.2134634933e+00	9.1443246603e-01	8.5567533970e-02	6.6777983503e-01	2.6193600000e+05	2.0000000000e+00	1.6581245605e+00	1.6603175484e+00	4.8219966888e+01	1.3656933784e+01	1.6319999695e+01	9.8599996567e+00	4.4500000775e-02	7.4259331373e+02
1.2065000000e+03	1.1625000000e+03	1.0378494263e+00	1.3947138977e+02	1.5312500000e+00	5.6910204082e+01	8.0753655354e+00	9.3677669764e-01	6.3223302364e-02	8.4291045757e-01	2.6195100000e+05	3.0000000000e+00	1.5128764789e+00	1.5278221346e+00	1.7173828125e+01	1.2908351898e+01	1.6659999847e+01	1.0880000114e+01	5.2000001073e-02	9.6531679520e+02
1.0600000000e+03	9.9850000000e+02	1.0615923405e+00	1.2253599548e+02	1.6551724672e+00	5.6452830189e+01	8.2134634933e+00	9.1443246603e-01	8.5567533970e-02	6.6777983503e-01	2.6203600000e+05	4.0000000000e+00	1.6581245605e+00	1.6603175484e+00	4.8219966888e+01	1.3656933784e+01	1.6319999695e+01	9.8599996567e+00	9.4499997795e-02	7.4259331373e+02
1.2065000000e+03	1.1625000000e+03	1.0378494263e+00	1.3947138977e+02	1.5312500000e+00	5.6910204082e+01	8.0753655354e+00	9.3677669764e-01	6.3223302364e-02	8.4291045757e-01	2.6205100000e+05	5.0000000000e+00	1.5128764789e+00	1.5278221346e+00	1.7173828125e+01	1.2908351898e+01	1.6659999847e+01	1.0880000114e+01	1.0199999809e-01	9.6531679520e+02
1.4020000000e+03	1.3115000000e+03	1.0690050125e+00	1.6207119751e+02	1.5882352591e+00	5.8354001442e+01	8.4638075606e+00	9.1684436798e-01	8.3155632019e-02	8.3245196887e-01	2.6209000000e+05	6.0000000000e+00	1.5631238883e+00	1.5068312887e+00	6.1923934937e+01	1.3231909752e+01	1.8360000610e+01	1.1560000420e+01	1.2150000036e-01	1.1737639111e+03
1.2650000000e+03	1.2325000000e+03	1.0263692141e+00	1.4623399353e+02	1.6129032373e+00	5.7634334103e+01	7.2492896681e+00	9.1147637367e-01	8.8523626328e-02	7.4754349178e-01	2.6209700000e+05	7.0000000000e+00	1.6159843037e+00	1.6231680527e+00	3.7432880402e+01	1.3549515724e+01	1.7000000000e+01	1.0539999962e+01	1.2500000000e-01	1.0299003144e+03
6.4550000000e+02	4.9450000000e+02	1.3053590059e+00	7.4619796753e+01	1.2857141495e+00	4.9136612022e+01	9.9560742092e+00	9.1683083773e-01	8.3169162273e-02	4.9155628176e-01	2.6214400000e+05	8.0000000000e+00	1.3274521992e+00	1.4242260923e+00	3.1710859299e+01	1.2886377335e+01	1.2239999771e+01	9.5200004578e+00	1.4849999547e-01	2.9848202797e+02
1.4950000000e+03	1.4400000000e+03	1.0381944180e+00	1.7282199097e+02	1.6571427584e+00	5.8132187707e+01	8.0823407273e+00	8.9844119549e-01	1.0155880451e-01	7.9662545818e-01	2.6216600000e+05	9.0000000000e+00	1.5964750259e+00	1.5889074162e+00	1.2932470322e+01	1.3709998131e+01	1.9719999313e+01	1.1900000572e+01	1.5950000286e-01	1.3175383713e+03
1.5875000000e+03	1.4675000000e+03	1.0817717314e+00	1.8351499939e+02	2.1875000000e+00	5.8227945911e+01	7.2960268077e+00	8.2545149326e-01	1.7454850674e-01	nan	2.6218500000e+05	1.0000000000e+01	2.0908314216e+00	2.0036932135e+00	5.3294582367e+01	1.4022992134e+01	2.3800001144e+01	1.0880000114e+01	1.6899999976e-01	1.2102304206e+03
1.2830000000e+03	1.2470000000e+03	1.0288692713e+00	1.4831480408e+02	1.4117646217e+00	5.7483600305e+01	8.5827687079e+00	9.4964885712e-01	5.0351142883e-02	9.9120482755e-01	2.6227200000e+05	1.1000000000e+01	1.4267134665e+00	1.4413496855e+00	6.7489997864e+01	1.3305315971e+01	1.6319999695e+01	1.1560000420e+01	2.1250000596e-01	1.1025274604e+03
1.2535000000e+03	1.1895000000e+03	1.0538041592e+00	1.4490460205e+02	1.9000000954e+00	5.8069896743e+01	8.6472595983e+00	8.8430529833e-01	1.1569470167e-01	6.6313662479e-01	2.6227600000e+05	1.2000000000e+01	1.7355389842e+00	1.6856919939e+00	4.9678153992e+01	1.2849884033e+01	1.9380001068e+01	1.0199999809e+01	2.1449999511e-01	9.5917147825e+02
1.4780000000e+03	1.2545000000e+03	1.1781586409e+00	1.7085679626e+02	2.3870968819e+00	5.7366890380e+01	7.2819785077e+00	8.1004184484e-01	1.8995815516e-01	nan	2.6229200000e+05	1.3000000000e+01	2.0385050625e+00	1.7735077235e+00	4.9501285553e+01	1.4426804543e+01	2.5159999847e+01	1.0539999962e+01	2.2249999642e-01	1.0599725248e+03
1.1055000000e+03	1.0730000000e+03	1.0302889347e+00	1.2779579926e+02	1.5161291361e+00	5.6719081272e+01	7.8668618752e+00	9.3430143595e-01	6.5698564053e-02	7.7492869779e-01	2.6231100000e+05	1.4000000000e+01	1.5261221294e+00	1.5488463795e+00	2.5476575851e+01	1.3006371498e+01	1.5980000496e+01	1.0539999962e+01	2.3199999332e-01	8.4939918427e+02
2.6650000000e+02	2.5800000000e+02	1.0329457521e+00	3.0807399750e+01	1.2352941036e+00	5.2779720280e+01	5.9617435315e+00	9.7303903103e-01	2.6960968971e-02	nan	2.6239400000e+05	1.5000000000e+01	1.2670293181e+00	1.3031311569e+00	5.9569744110e+01	1.2838774681e+01	7.1399998665e+00	5.7800002098e+00	2.7349999547e-01	1.0979805932e+02
1.2005000000e+03	1.1600000000e+03	1.0349137783e+00	1.3877780151e+02	1.6129032373e+00	5.7289795918e+01	7.7811977699e+00	9.1164201498e-01	8.8357985020e-02	7.1981458410e-01	2.6244300000e+05	1.6000000000e+01	1.6490307873e+00	1.6650472019e+00	2.6134449005e+01	1.3290398598e+01	1.7000000000e+01	1.0539999962e+01	2.9800000787e-01	9.2644875053e+02
1.4435000000e+03	1.2750000000e+03	1.1321568489e+00	1.6686859131e+02	2.1290323734e+00	5.8682422452e+01	8.1687086088e+00	8.6660730839e-01	1.3339269161e-01	6.8785450062e-01	2.6245600000e+05	1.7000000000e+01	2.0937160577e+00	2.0723197617e+00	4.5075614929e+01	1.2639826775e+01	2.2440000534e+01	1.0539999962e+01	3.0450001359e-01	9.8063290623e+02
1.2435000000e+03	1.2075000000e+03	1.0298136473e+00	1.4374859619e+02	1.6774194241e+00	5.6561320755e+01	7.7500870852e+00	9.2186754942e-01	7.8132450581e-02	7.8096683080e-01	2.6246400000e+05	1.8000000000e+01	1.6637756486e+00	1.6733726307e+00	3.4140720367e+01	1.3628481865e+01	1.7680000305e+01	1.0539999962e+01	3.0849999189e-01	9.7422161702e+02
1.1320000000e+03	1.0890000000e+03	1.0394858122e+00	1.3085919189e+02	1.4375000000e+00	5.5668695652e+01	8.4336166384e+00	9.4746321440e-01	5.2536785603e-02	8.7920334101e-01	2.6246600000e+05	1.9000000000e+01	1.4508665643e+00	1.4597155958e+00	4.0281589508e+01	1.3317467690e+01	1.5640000343e+01	1.0880000114e+01	3.0950000882e-01	8.9293813140e+02
1.1415000000e+03	1.0465000000e+03	1.0907788277e+00	1.3195739746e+02	2.0714282990e+00	5.6299820467e+01	8.3427399912e+00	8.6401510239e-01	1.3598489761e-01	5.8754164477e-01	2.6248000000e+05	2.0000000000e+01	2.0541351733e+00	2.0245083738e+00	6.3393741608e+01	1.2971032143e+01	1.9719999313e+01	9.5200004578e+00	3.1650000811e-01	7.2413908255e+02
1.3510000000e+03	1.3120000000e+03	1.0297255516e+00	1.5617559814e+02	1.5454545021e+00	5.8043478261e+01	7.4617571514e+00	9.2810964584e-01	7.1890354156e-02	8.6627883788e-01	2.6248200000e+05	2.1000000000e+01	1.5185043256e+00	1.5043125511e+00	4.3184741974e+01	1.3573449135e+01	1.7340000153e+01	1.1220000267e+01	3.1749999523e-01	1.1694414759e+03
1.3075000000e+03	1.2710000000e+03	1.0287175179e+00	1.5114700317e+02	1.5625000000e+00	5.7227204783e+01	7.2915440175e+00	9.2693895102e-01	7.3061048985e-02	8.3725591592e-01	2.6248500000e+05	2.2000000000e+01	1.5589175843e+00	1.5578798399e+00	4.0531597137e+01	1.3786057472e+01	1.7000000000e+01	1.0880000114e+01	3.1900000572e-01	1.0953189446e+03
1.4925000000e+03	1.4355000000e+03	1.0397074223e+00	1.7253298950e+02	1.7878787518e+00	5.8063660477e+01	6.3900561320e+00	9.1053283215e-01	8.9467167854e-02	8.4467455237e-01	2.6256000000e+05	2.3000000000e+01	1.8036603383e+00	1.7929787855e+00	7.3558044434e+01	1.3834032059e+01	2.0059999466e+01	1.1220000267e+01	3.5649999976e-01	1.2240454317e+03
1.1835000000e+03	1.1435000000e+03	1.0349802971e+00	1.3681259155e+02	1.5806452036e+00	5.6790389395e+01	7.5272478534e+00	9.2701321840e-01	7.2986781597e-02	7.7602276877e-01	2.6256100000e+05	2.4000000000e+01	1.6143410422e+00	1.6248408211e+00	5.4699062347e+01	1.3745461464e+01	1.6659999847e+01	1.0539999962e+01	3.5699999332e-01	9.1776374490e+02
1.8100000000e+02	1.4500000000e+02	1.2482758760e+00	2.0923599243e+01	1.0625000000e+00	4.7046511628e+01	8.3407196398e+00	9.3293172121e-01	6.7068278790e-02	nan	2.6257200000e+05	2.5000000000e+01	1.0623448357e+00	9.3426527112e-01	2.1254383087e+01	1.2643867493e+01	5.7800002098e+00	5.4400000572e+00	3.6250001192e-01	6.1491010303e+01
1.5885000000e+03	1.5155000000e+03	1.0481688976e+00	1.8363059998e+02	1.7142856121e+00	5.8600125549e+01	7.8140777869e+00	8.9640057087e-01	1.0359942913e-01	8.2665136022e-01	2.6259600000e+05	2.6000000000e+01	1.6503308600e+00	1.6284041661e+00	7.2753471375e+01	1.3811148643e+01	2.0399999619e+01	1.1900000572e+01	3.7450000644e-01	1.4038830397e+03
1.0405000000e+03	1.0115000000e+03	1.0286703110e+00	1.2028179932e+02	1.5862070322e+00	5.5632366698e+01	9.4422829500e+00	9.4522690773e-01	5.4773092270e-02	8.0895281317e-01	2.6271700000e+05	2.7000000000e+01	1.5835437673e+00	1.5982693746e+00	6.7990303040e+01	1.3548588753e+01	1.5640000343e+01	9.8599996567e+00	4.3500000238e-01	7.6095029112e+02
1.8450000000e+02	1.6050000000e+02	1.1495326757e+00	2.1328199387e+01	1.3999999762e+00	5.3340540541e+01	5.2016348500e+00	9.2608708143e-01	7.3912918568e-02	nan	2.6272700000e+05	2.8000000000e+01	1.4403385348e+00	1.4846953217e+00	4.8231472015e+01	1.4025998116e+01	7.1399998665e+00	5.0999999046e+00	4.3999999762e-01	5.0344481674e+01
1.2375000000e+03	1.1580000000e+03	1.0686528683e+00	1.4305499268e+02	2.0344827175e+00	5.7605863192e+01	7.3105406579e+00	8.6931079626e-01	1.3068920374e-01	6.2749350833e-01	2.6273600000e+05	2.9000000000e+01	1.8638480294e+00	1.7521844960e+00	1.5939795494e+01	1.3043361664e+01	2.0059999466e+01	9.8599996567e+00	4.4449999928e-01	9.0067170841e+02
1.1840000000e+03	1.0625000000e+03	1.1143529415e+00	1.3687039185e+02	1.8064516783e+00	5.8418727915e+01	7.5567068804e+00	8.7779754400e-01	1.2220245600e-01	6.2518149722e-01	2.6278000000e+05	3.0000000000e+01	1.6887301846e+00	1.5410356011e+00	6.6284347534e+01	1.2909757614e+01	1.9040000916e+01	1.0539999962e+01	4.6650001407e-01	8.5672813844e+02
1.1625000000e+03	1.1265000000e+03	1.0319573879e+00	1.3438499451e+02	1.5806452036e+00	5.6460050463e+01	8.6489984640e+00	9.2059314251e-01	7.9406857491e-02	7.3721642842e-01	2.6278300000e+05	3.1000000000e+01	1.6040564228e+00	1.6250804633e+00	2.7077308655e+01	1.3221100807e+01	1.6659999847e+01	1.0539999962e+01	4.6799999475e-01	8.9412888529e+02
1.1505000000e+03	1.1130000000e+03	1.0336927176e+00	1.3299780273e+02	1.3939393759e+00	5.6797101449e+01	7.4218698366e+00	9.4814032316e-01	5.1859676838e-02	8.9575637864e-01	2.6280200000e+05	3.2000000000e+01	1.4192447092e+00	1.4454749299e+00	3.6586521149e+01	1.3636645317e+01	1.5640000343e+01	1.1220000267e+01	4.7749999166e-01	9.2761420070e+02
1.4620000000e+03	1.4035000000e+03	1.0416815281e+00	1.6900720215e+02	1.8181817532e+00	5.8231707317e+01	8.2897541855e+00	8.9296042919e-01	1.0703957081e-01	7.6465725985e-01	2.6280400000e+05	3.3000000000e+01	1.7571398901e+00	1.7403703835e+00	4.1182289124e+01	1.3013837814e+01	2.0399999619e+01	1.1220000267e+01	4.7850000858e-01	1.2117321045e+03
