
Contour in frame 261936 
( 142 , 26 )
( 141 , 27 )
( 140 , 27 )
( 139 , 27 )
( 138 , 27 )
( 137 , 27 )
( 136 , 28 )
( 135 , 28 )
( 134 , 28 )
( 133 , 28 )
( 132 , 28 )
( 131 , 28 )
( 130 , 29 )
( 129 , 29 )
( 128 , 30 )
( 127 , 30 )
( 126 , 31 )
( 125 , 31 )
( 124 , 32 )
( 123 , 32 )
( 122 , 32 )
( 122 , 33 )
( 121 , 34 )
( 120 , 34 )
( 119 , 35 )
( 119 , 36 )
( 118 , 37 )
( 117 , 37 )
( 117 , 38 )
( 116 , 39 )
( 117 , 40 )
( 117 , 41 )
( 117 , 42 )
( 117 , 43 )
( 117 , 44 )
( 118 , 45 )
( 119 , 45 )
( 120 , 46 )
( 121 , 46 )
( 122 , 46 )
( 123 , 47 )
( 124 , 47 )
( 125 , 48 )
( 126 , 49 )
( 127 , 50 )
( 128 , 50 )
( 129 , 50 )
( 130 , 51 )
( 131 , 51 )
( 132 , 51 )
( 133 , 51 )
( 134 , 52 )
( 135 , 52 )
( 136 , 52 )
( 137 , 52 )
( 138 , 53 )
( 139 , 53 )
( 140 , 53 )
( 141 , 53 )
( 142 , 53 )
( 143 , 53 )
( 144 , 54 )
( 145 , 54 )
( 146 , 54 )
( 147 , 53 )
( 148 , 53 )
( 149 , 53 )
( 150 , 53 )
( 151 , 53 )
( 152 , 53 )
( 153 , 53 )
( 154 , 53 )
( 155 , 53 )
( 156 , 53 )
( 157 , 54 )
( 158 , 53 )
( 159 , 53 )
( 160 , 52 )
( 161 , 53 )
( 162 , 53 )
( 163 , 52 )
( 162 , 51 )
( 162 , 50 )
( 162 , 49 )
( 162 , 48 )
( 162 , 47 )
( 162 , 46 )
( 161 , 45 )
( 161 , 44 )
( 161 , 43 )
( 161 , 42 )
( 161 , 41 )
( 161 , 40 )
( 161 , 39 )
( 161 , 38 )
( 162 , 37 )
( 162 , 36 )
( 161 , 35 )
( 161 , 34 )
( 161 , 33 )
( 160 , 32 )
( 160 , 31 )
( 159 , 30 )
( 159 , 29 )
( 159 , 28 )
( 158 , 27 )
( 157 , 27 )
( 156 , 27 )
( 155 , 27 )
( 154 , 27 )
( 153 , 27 )
( 152 , 27 )
( 151 , 26 )
( 150 , 26 )
( 149 , 26 )
( 148 , 26 )
( 147 , 26 )
( 146 , 26 )
( 145 , 26 )
( 144 , 26 )
( 143 , 26 )

Contour in frame 261951 
( 50 , 23 )
( 49 , 24 )
( 48 , 24 )
( 47 , 24 )
( 46 , 24 )
( 45 , 24 )
( 44 , 24 )
( 43 , 25 )
( 42 , 25 )
( 41 , 25 )
( 40 , 25 )
( 39 , 26 )
( 38 , 26 )
( 37 , 26 )
( 36 , 27 )
( 35 , 27 )
( 34 , 28 )
( 33 , 28 )
( 32 , 29 )
( 31 , 30 )
( 30 , 30 )
( 29 , 31 )
( 28 , 31 )
( 27 , 32 )
( 27 , 33 )
( 26 , 34 )
( 26 , 35 )
( 26 , 36 )
( 26 , 37 )
( 25 , 38 )
( 26 , 39 )
( 26 , 40 )
( 26 , 41 )
( 26 , 42 )
( 27 , 43 )
( 28 , 44 )
( 29 , 45 )
( 29 , 46 )
( 30 , 46 )
( 31 , 47 )
( 32 , 48 )
( 33 , 48 )
( 34 , 49 )
( 35 , 49 )
( 36 , 50 )
( 37 , 51 )
( 38 , 51 )
( 39 , 51 )
( 40 , 51 )
( 41 , 52 )
( 42 , 52 )
( 43 , 52 )
( 44 , 53 )
( 45 , 53 )
( 46 , 53 )
( 47 , 53 )
( 48 , 53 )
( 49 , 53 )
( 50 , 53 )
( 51 , 54 )
( 52 , 54 )
( 53 , 54 )
( 54 , 54 )
( 55 , 54 )
( 56 , 54 )
( 57 , 54 )
( 58 , 54 )
( 59 , 54 )
( 60 , 54 )
( 61 , 54 )
( 62 , 53 )
( 63 , 53 )
( 64 , 53 )
( 65 , 52 )
( 66 , 51 )
( 67 , 50 )
( 68 , 49 )
( 68 , 48 )
( 69 , 47 )
( 69 , 46 )
( 70 , 45 )
( 70 , 44 )
( 70 , 43 )
( 71 , 42 )
( 71 , 41 )
( 71 , 40 )
( 71 , 39 )
( 72 , 38 )
( 72 , 37 )
( 72 , 36 )
( 72 , 35 )
( 72 , 34 )
( 72 , 33 )
( 72 , 32 )
( 72 , 31 )
( 72 , 30 )
( 72 , 29 )
( 72 , 28 )
( 73 , 27 )
( 73 , 26 )
( 73 , 25 )
( 72 , 24 )
( 71 , 24 )
( 70 , 24 )
( 69 , 24 )
( 68 , 24 )
( 67 , 24 )
( 66 , 24 )
( 65 , 24 )
( 64 , 24 )
( 63 , 24 )
( 62 , 23 )
( 61 , 24 )
( 60 , 24 )
( 59 , 23 )
( 58 , 24 )
( 57 , 24 )
( 56 , 24 )
( 55 , 23 )
( 54 , 24 )
( 53 , 24 )
( 52 , 24 )
( 51 , 23 )

Contour in frame 262036 
( 142 , 26 )
( 141 , 27 )
( 140 , 27 )
( 139 , 27 )
( 138 , 27 )
( 137 , 27 )
( 136 , 28 )
( 135 , 28 )
( 134 , 28 )
( 133 , 28 )
( 132 , 28 )
( 131 , 28 )
( 130 , 29 )
( 129 , 29 )
( 128 , 30 )
( 127 , 30 )
( 126 , 31 )
( 125 , 31 )
( 124 , 32 )
( 123 , 32 )
( 122 , 32 )
( 122 , 33 )
( 121 , 34 )
( 120 , 34 )
( 119 , 35 )
( 119 , 36 )
( 118 , 37 )
( 117 , 37 )
( 117 , 38 )
( 116 , 39 )
( 117 , 40 )
( 117 , 41 )
( 117 , 42 )
( 117 , 43 )
( 117 , 44 )
