"","Residuals","Method","Fit","AbsResiduals"
"3",-1.66533453693773e-16,"SMR","Linear",1.66533453693773e-16
"6",0,"SMR","Linear",0
"7",-0.0788760121205139,"SMR","Linear",0.0788760121205139
"8",-0.110256551051429,"SMR","Linear",0.110256551051429
"9",-0.0379072618373137,"SMR","Linear",0.0379072618373137
"10",0.0826762460021745,"SMR","Linear",0.0826762460021745
"11",0,"SMR","Linear",0
"12",-0.348913161924372,"SMR","Linear",0.348913161924372
"13",-0.0950310363493327,"SMR","Linear",0.0950310363493327
"14",0.0398565929108023,"SMR","Linear",0.0398565929108023
"15",0.13288813455073,"SMR","Linear",0.13288813455073
"18",0,"SMR","Linear",0
"19",-0.049725082696225,"SMR","Linear",0.049725082696225
"20",0,"SMR","Linear",0
"21",-0.116575507937545,"SMR","Linear",0.116575507937545
"22",-0.0167686033570857,"SMR","Linear",0.0167686033570857
"23",0.0758601855142245,"SMR","Linear",0.0758601855142245
"54",-3.08780778723872e-16,"DC","Linear",3.08780778723872e-16
"55",-0.0189534124587716,"DC","Linear",0.0189534124587716
"56",-0.0133460076878222,"DC","Linear",0.0133460076878222
"57",0.0122128578461142,"DC","Linear",0.0122128578461142
"58",0.0752037128863987,"DC","Linear",0.0752037128863987
"61",0,"DC","Linear",0
"62",-0.0913064457714486,"DC","Linear",0.0913064457714486
"63",-0.0797055826870632,"DC","Linear",0.0797055826870632
"64",-0.0517107706686668,"DC","Linear",0.0517107706686668
"65",0.0111573528830347,"DC","Linear",0.0111573528830347
"68",0,"DC","Linear",0
"69",-0.0243895664155846,"DC","Linear",0.0243895664155846
"70",-0.0399458640362412,"DC","Linear",0.0399458640362412
"71",-0.0105416785661388,"DC","Linear",0.0105416785661388
"72",0.10023786847711,"DC","Linear",0.10023786847711
"75",0,"DC","Linear",0
"76",-0.0752941360508706,"DC","Linear",0.0752941360508706
"77",-0.0737061485418372,"DC","Linear",0.0737061485418372
"78",-0.0214480881325418,"DC","Linear",0.0214480881325418
"79",0.0228545170450327,"DC","Linear",0.0228545170450327
"26",5.3776427755281e-17,"RTDC","Linear",5.3776427755281e-17
"27",-0.00941867886440167,"RTDC","Linear",0.00941867886440167
"28",-0.0875341755397373,"RTDC","Linear",0.0875341755397373
"29",-0.0979174190387121,"RTDC","Linear",0.0979174190387121
